         1801071959 function calls (1801068537 primitive calls) in 425.219 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 _npyio_impl.py:1(<module>)
       18    0.000    0.000    0.002    0.000 _compiler.py:576(_code)
        1    0.000    0.000    0.002    0.002 _internal.py:1(<module>)
     1582    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       84    0.000    0.000    0.002    0.000 _monitor.py:47(get_instances)
      160    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      166    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
       33    0.000    0.000    0.002    0.000 std.py:457(print_status)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
     1400    0.001    0.000    0.002    0.000 typing.py:1368(__setattr__)
   175/18    0.001    0.000    0.002    0.000 _compiler.py:37(_compile)
      311    0.000    0.000    0.002    0.000 function_base.py:487(add_newdoc)
      272    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
    48/13    0.000    0.000    0.002    0.000 typing.py:1483(_determine_new_args)
      460    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
     2372    0.001    0.000    0.002    0.000 typing.py:1294(_is_dunder)
    48/13    0.000    0.000    0.002    0.000 typing.py:1512(_make_substitution)
      438    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
       33    0.000    0.000    0.002    0.000 utils.py:386(disp_trim)
       16    0.001    0.000    0.001    0.000 __init__.py:358(namedtuple)
       88    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
       84    0.000    0.000    0.001    0.000 _weakrefset.py:95(copy)
     3894    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 std.py:1(<module>)
        7    0.001    0.000    0.001    0.000 enum.py:1749(convert_class)
      272    0.001    0.000    0.001    0.000 functools.py:36(update_wrapper)
      138    0.000    0.000    0.001    0.000 typing.py:351(_deduplicate)
       88    0.000    0.000    0.001    0.000 _weakrefset.py:37(__init__)
      279    0.001    0.000    0.001    0.000 typing.py:173(_type_check)
      181    0.000    0.000    0.001    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
        1    0.000    0.000    0.001    0.001 context.py:70(RLock)
      290    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
      972    0.001    0.000    0.001    0.000 typing.py:1358(__getattr__)
      664    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      294    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
